id,title,description,release_date,runtime,slug,genre,type,backdrop_img,poster_img,created_at,updated_at
195,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",2021-11-03,156,eternals,"Science Fiction, Action",movie,c6H7Z4u73ir3cIoCteuhJh7UCAR.jpg,bcCBq9N1EMo3daNIjWJ8kYvrQm6.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
196,The Ice Age Adventures of Buck Wild,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,2022-01-28,82,the-ice-age-adventures-of-buck-wild,"Animation, Comedy, Adventure, Family",movie,eG0oOQVsniPAuecPzDD1B1gnYWy.jpg,zzXFM4FKDG7l1ufrAkwQYv2xvnh.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
197,Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald''s growing legion of followers.",2022-04-06,142,fantastic-beasts-the-secrets-of-dumbledore,"Fantasy, Adventure",movie,wdjdHBDwmynWUrJcNzS24uegvK5.jpg,8ZbybiGYe8XM4WGmGlhF0ec5R7u.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
198,Bull Shark,A hungry shark begins feeding on unsuspecting lake goers in a small Texas town.,2022-02-05,80,bull-shark,Horror,movie,u5lEdCvKLkm1EhfQt3qe8Rr5DvR.jpg,wGE4ImqYjJZQi3xFu4I2OLm8m0w.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
199,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021-12-01,110,sing-2,"Animation, Comedy, Family, Music",movie,6mJrgL7Mi13XjJeGYJFlD6UEVQw.jpg,aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
200,Desperate Riders,"After Kansas Red rescues young Billy from a card-game shootout, the boy asks Red for help protecting his family from the outlaw Thorn, who’s just kidnapped Billy’s mother, Carol. As Red and Billy ride off to rescue Carol, they run into beautiful, tough-as-nails Leslie, who’s managed to escape Thorn’s men. The three race to stop Thorn’s wedding to Carol with guns a-blazing - but does she want to be rescued?",2022-02-25,90,desperate-riders,"Western, Action",movie,i5dUmY2xRzgkmjHJYKNj8kPX1Xx.jpg,7pYYGm1dWZGkbJuhcuaHD6nE6k7.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
201,The Commando,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",2022-01-07,93,the-commando,"Action, Crime, Thriller",movie,pnZ9NMxRqbcJ2dPNROIoregruv5.jpg,mC66fsuzlYHSoZwb6y6emSCaRv5.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
202,Metal Lords,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.",2022-04-08,97,metal-lords,"Comedy, Drama, Music",movie,gc3QFVNWeTCk2J7XuDIPPoGUWNx.jpg,r97txZRmBb75SGsIAWqmplWJnO3.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
203,Sonic the Hedgehog,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",2020-02-12,99,sonic-the-hedgehog,"Action, Science Fiction, Comedy, Family",movie,gnWFYFTTUC62NHSGcMuo4JGK0t4.jpg,aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
204,Fistful of Vengeance,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,2022-02-17,94,fistful-of-vengeance,"Action, Crime, Fantasy",movie,wMUPT99gw6IB9OVvC46rF8wHIRt.jpg,3cccEF9QZgV9bLWyupJO41HSrOV.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
205,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar''s head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",2020-10-16,117,demon-slayer--kimetsu-no-yaiba--the-movie-mugen-train,"Animation, Action, Adventure, Fantasy",movie,qjGrUmKW78MCFG8PTLDBp67S27p.jpg,h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
206,The King's Man,"As a collection of history''s worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",2021-12-22,131,the-king-s-man,"Action, Adventure, Thriller, War, Mystery",movie,1QW1QHeeW3rZXl6FNKSuqb1kcl8.jpg,aq4Pwv5Xeuvj6HZKtxyd23e6bE9.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
207,Last Man Down,"After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She''s escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He''s hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.",2021-10-19,87,last-man-down,"Action, Thriller",movie,t4To8feUSysyBs4tlBAbXIrKlCv.jpg,4B7liCxNCZIZGONmAMkCnxVlZQV.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
208,The Requin,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",2022-01-28,89,the-requin,Thriller,movie,eVSa4TpyXbOdk9fXSD6OcORJGtv.jpg,i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
209,Kimi,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment.",2022-02-10,89,kimi,Thriller,movie,mruT954ve6P1zquaRs6XG0hA5k9.jpg,okNgwtxIWzGsNlR3GsOS0i0Qgbn.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
210,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",2021-11-11,124,ghostbusters-afterlife,"Fantasy, Comedy, Adventure",movie,zplzc6jxO3SK7Pa4yxVoRY5VflT.jpg,sg4xJaufDiQl7caFEskBtQXfD4x.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
211,Pirates of the Caribbean: Dead Man's Chest,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,2006-07-06,151,pirates-of-the-caribbean-dead-man-s-chest,"Adventure, Fantasy, Action",movie,vv5a8u6e40kyH0Hp6HuamAgzRai.jpg,uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
212,Moon Knight,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc’s enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.",2022-03-30,1,moon-knight,"Action & Adventure, Sci-Fi & Fantasy, Mystery",series,1uegR4uAxRxiMyX4nQnpzbXhrTw.jpg,zQSABH2Dza4mXLow2f0V2IQvJOL.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
213,Halo,"Depicting an epic 26th-century conflict between humanity and an alien threat known as the Covenant, the series weaves deeply drawn personal stories with action, adventure and a richly imagined vision of the future.",2022-03-24,1,halo,"Action & Adventure, Sci-Fi & Fantasy",series,1qpUk27LVI9UoTS7S0EixUBj5aR.jpg,nJUHX3XL1jMkk8honUZnUmudFb9.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
214,Pasión de gavilanes,The Reyes-Elizondo's idyllic lives are shattered by a murder charge against Eric and León.,2003-10-21,2,pasión-de-gavilanes,Drama,series,4g5gK5eGWZg8swIZl6eX2AoJp8S.jpg,lWlsZIsrGVWHtBeoOeLxIKDd9uy.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
215,Robinson,"Expedition Robinson is a Swedish reality television program in which contestants are put into survival situations, and a voting process eliminates one person each episode until a winner is determined. The format was developed in 1994 by Charlie Parsons for a United Kingdom TV production company called Planet 24, but the Swedish debut in 1997 was the first production to actually make it to television.",1997-09-13,21,robinson,Reality,series,9hp4JNejY6Ctg9i9ItkM9rd6GE7.jpg,sWA0Uo9hkiAtvtjnPvaqfnulIIE.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
216,El Kabeer,"The mayor of Al-Mazareeta, earlier in his life, he met an American woman and had twins with her. One child stayed in Egypt while the other went to America . Once he is on his deathbed, his child that grew up in America goes over to Egypt to claim his father''s title. The sons battle to see who will take over, but eventually they realize the value of family, and go through challenges together",2010-08-11,6,el-kabeer,Comedy,series,5dJccl3yF1Er6HVZDceYZC3rzhh.jpg,oj4XM6wpGRIcx3QoQx1PF1fx5E5.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
217,Al Asouf,"In the wake of the significant societal changes in the 1970s, the life of a Saudi family is turned upside down after sheltering a baby found at the mosque.",2018-05-17,3,al-asouf,Drama,series,rjqm1SpsgNGTJutxt1GwxH8AX4V.jpg,g6jYXniFdLDmvGY4DyqXZwKtE5G.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
218,My Heart Relieved,"A program that gives you the chance to live a social experience with a young man called '"Ghaith'". Who is roaming countries to meet people in distress and pain; to look for an opportunity to make a difference in their lives.",2018-05-17,5,my-heart-relieved,"Family, Reality",series,lc2z0xDE6bS90Qo7M3hAJSpW6Df.jpg,3iNT3rKs8q7qDr1fWxfznimZ7JV.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
219,The Choice,"The story of Ahmed Saber Al-Mansi, commander of the 103rd Brigade, Thunderbolt, who was martyred in the ambush of the Burth Square in the Egyptian city of Rafah in 2017 while responding to a terrorist attack in the Sinai.",2020-04-24,3,the-choice,"Drama, War & Politics, Action & Adventure",series,xJwRWUsATroJvuJXiaMJ038Zf8l.jpg,Rk6iy12bLVIemCcWxPLKH2Cmzz.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
220,Till Death,"Fed up with his wife’s distancing from him, Hadi goes on a business trip to Turkey where he meets a special woman, an encounter that changes his life forever.",2021-04-13,2,till-death,Drama,series,4I2H2c6pR7Ws4I8SBAMh6PkdkKz.jpg,g18jnJuhIujMYErHqeG5t8U5F9X.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
221,Mohamed Ali Road,"Written secrets are what connects the beaches in Kuwait and Mohamed Ali Road in Mumbai, as a beautiful friendship bonds Shehab and the merchant Abdel Wahab, but the friendship is tarnished when Abdel Wahab betrays his best friend.",2020-04-24,2,mohamed-ali-road,Drama,series,8EqZ8uNx5fEsm5XcciDrDXWBp33.jpg,c4ig0VYwCAnyULaoY4r45ki29h0.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
222,Al Maddah,"Saber Al Maddah is a devout and lovable man. Al-Shaytan was able to get him because of the one whose heart was attached to her love, so he killed the closest people to her, and his life was turned upside down.",2021-04-13,2,al-maddah,Drama,series,opOh9JinJjd6KMF4AdgnDGjWzds.jpg,djvJ6XsHrtMsUwnYn12QAWKfjOh.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
223,Just Amina,"A decision to spend her husband’s secret stash of money takes Amina, who leads a simple life, to places she never imagined she would go.",2021-04-12,2,just-amina,Drama,series,strfWCyNBUzsKjsY9iYOsTJAFgy.jpg,RVgyEIjf1MLREYJIJxvm7O2hF1.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
224,Date with Destiny,We don't have an overview translated in English. Help us expand our database by adding one.,2022-04-02,1,date-with-destiny,"Comedy, Drama",series,fFFRwoykHlk87WdFoU0EzlBAkLk.jpg,2XrZwNhWCNqtduTsyEc9xOpEaRy.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
225,Ramez Movie Star,Ramez and co-host Jean-Claude Van Damme trick the stars into thinking they’ll shoot an action-packed movie/ad with the superstar before the actual stunt begins.,2022-04-02,1,ramez-movie-star,Comedy,series,d5rjvv6J2VGgbNlSU2K7cmo8NhX.jpg,jkwv8b1lJKtpdmt0yf3G3e3i0Nu.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
226,Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013-09-12,6,peaky-blinders,"Drama, Crime",series,wiE9doxiLwq3WCGamDIOb2PqBqc.jpg,vUUqzWa2LnHIVqkaKVlVGkVcZIW.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
227,Hollyoaks,"The daily soap that follows the loves, lives and misdemeanours of a group of people living in the Chester village of Hollyoaks where anything could, and frequently does, happen...",1995-10-23,28,hollyoaks,Soap,series,r8CGqB8IJNbA1IruHWquS7YttNB.jpg,bpmLMZP3M1vLujPqHnOTnKVjRJY.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
228,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,2005-03-27,18,grey-s-anatomy,Drama,series,dpzC0ACzwkVporKvzZGvNFOBFr6.jpg,zPIug5giU8oug6Xes5K1sTfQJxY.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
229,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010-10-31,11,the-walking-dead,"Action & Adventure, Drama, Sci-Fi & Fantasy",series,wvdWb5kTQipdMDqCclC6Y3zr4j3.jpg,xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
230,The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital''s surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",2017-09-25,5,the-good-doctor,Drama,series,6Ys6koNajP5ld9EIMfOSQrRquki.jpg,cXUqtadGsIcZDWUTrfnbDjAy8eN.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
